event, shooter, shooter_name, shooter_offensive_rating, dist, x, y, shot_angle, shooter_velocity, fg_percentage_zone, closest_defender, closest_defender_name, closest_defender_defensive_rating, closest_defender_dist, closest_defender_angle, closest_defender_velocity, num_close_defenders, shot_clock, score_margin, quarter, make
352, 2749, Jameer Nelson, 99.0, 34.05931125050095, 14.95712, -7.676290000000002, 1.284844979102002, 0.0051441243484677875,38.46153846153847, 203546, Ian Clark, 106.0, 6.090888614118632, 1.9471483932638651, 0.007368205632988267,2, 6, -18, 3, 0
354, 202691, Klay Thompson, 104.37388483373884, 57.91288372485003, 68.30188, -29.22044, 1.2117757817700525, 0.0021978487920009345,48.64864864864865, 202702, Kenneth Faried, 107.0, 7.597979244206983, 0.7463100004457696, 0.0030965048239911374,3, 14, 20, 3, 1
355, 2749, Jameer Nelson, 99.0, 59.57309076141341, 22.77674, -31.9672, 1.2739279154191143, 0.015800387307357402,57.407407407407405, 203110, Draymond Green, 100.0, 3.383750303923149, 2.300310707607947, 0.003384204716399443,2, 22, -18, 3, 1
356, 202691, Klay Thompson, 104.37388483373884, 58.080865091176115, 72.18987, -30.69965, 1.283458481960958, 0.0032912013877339644,34.375, 203914, Gary Harris, 111.0, 4.196080356189566, 1.250779316274772, 0.003775636350177719,3, 15, -18, 3, 0
358, 203914, Gary Harris, 110.0, 57.804948241745706, 6.52278, -32.79305, 1.550506360132491, 0.003929296502672827,52.94117647058824, 2738, Andre Iguodala, 105.0, 3.9455180604072773, 0.6318217667819193, 0.0009975800436347279,2, 24, 18, 3, 0
363, 201568, Danilo Gallinari, 120.0, 27.263574538150714, 4.73247, -2.2565799999999996, 1.5934486321328163, 0.002449373210639882,33.33333333333333, 203110, Draymond Green, 100.0, 2.304215633312124, 1.2460637989365875, 0.005038233643847679,1, 16, -18, 3, 0
365, 203546, Ian Clark, 102.0, 50.83620575523807, 97.51705, -25.05692, 1.7461170104879964, 0.002583633838704694,58.490566037735846, 202702, Kenneth Faried, 107.0, 3.5055156791547795, 0.04194084608326084, 0.003329492453813311,2, 1, 20, 3, 1
374, 203914, Gary Harris, 110.0, 52.7080504417162, 1.89072, -27.59441, 1.6364744960212891, 0.0020749654515196236,60.3448275862069, 2733, Shaun Livingston, 106.0, 4.352091886989521, 0.8379783978706512, 0.002853733891763551,2, 24, -16, 3, 1
375, 202691, Klay Thompson, 104.37388483373884, 55.80767211889867, 96.17571, -30.29792, 1.7060592262496106, 0.00491956213117587,65.10791366906474, 200751, Randy Foye, 110.66666666666669, 7.819898742387908, 1.2824586444215982, 0.0016031031041389841,2, 24, -16, 3, 0
377, 201578, Marreese Speights, 102.0, 50.15578064207256, 87.89781, -25.15014, 1.5557986896462062, 0.0020763728741486727,49.24242424242424, 200751, Randy Foye, 110.66666666666669, 3.9933985137974886, 2.988570114760969, 0.0016031031041389841,4, 24, 18, 3, 1
381, 203914, Gary Harris, 110.0, 54.71127158323411, 12.1494, -29.28712, 1.4461963064269359, 0.010063502782331778,60.3448275862069, 202691, Klay Thompson, 106.69356796116504, 5.507477383203676, 1.1520241925519665, 0.003357839456034164,3, 24, -17, 3, 1
382, 201578, Marreese Speights, 102.0, 68.57361178772489, 82.82194, -43.3255, 1.4857038396135005, 0.010970897839661474,28.57142857142857, 201589, Darrell Arthur, 108.0, 5.247810680159865, 0.9059490151604543, 0.009302279877206013,1, 23, -17, 3, 0
384, 201568, Danilo Gallinari, 120.0, 53.958813365200136, 33.94042, -20.76179, 1.012365149357487, 0.013719922252877539,50.43103448275862, 202691, Klay Thompson, 106.69356796116504, 20.551852415480703, 1.4301232028434452, 0.009557715943806878,0, 21, -15, 3, 1
