,quarter,universe_time,quarter_time,shot_clock,positions,game_time
5945,1,1451082296022,507.9,24.0,"[[-1, -1, 89.69014, 28.09537, 4.7798], [1610612744, 101106, 89.23734, 27.34858, 0.0], [1610612744, 201575, 77.2099, 25.9038, 0.0], [1610612744, 201939, 87.42214, 17.41722, 0.0], [1610612744, 202691, 74.95696, 38.764, 0.0], [1610612744, 203110, 73.7279, 14.1833, 0.0], [1610612739, 2544, 63.17337, 15.71472, 0.0], [1610612739, 2747, 74.35411, 5.77668, 0.0], [1610612739, 201567, 61.31333, 10.28448, 0.0], [1610612739, 202681, 59.19094, 37.91175, 0.0], [1610612739, 202389, 85.15217, 29.67285, 0.0]]",212.10000000000002
6497,1,1451082318102,487.02,20.02,"[[-1, -1, 0.97164, 17.4015, 5.36304], [1610612744, 101106, 73.93504, 22.09777, 0.0], [1610612744, 201575, 3.73936, 23.87543, 0.0], [1610612744, 201939, 54.6031, 27.12103, 0.0], [1610612744, 202691, 19.06611, 14.78101, 0.0], [1610612744, 203110, -3.05187, 30.4829, 0.0], [1610612739, 2544, 42.51299, 15.52821, 0.0], [1610612739, 2747, -3.05187, 30.4829, 0.0], [1610612739, 201567, 73.51774, 42.63654, 0.0], [1610612739, 202681, 11.68703, 24.32757, 0.0], [1610612739, 202389, 39.82055, 25.48991, 0.0]]",232.98000000000002
6498,1,1451082340061,487.0,24.0,"[[-1, -1, 18.35336, 25.20804, 3.05978], [1610612744, 101106, 10.5551, 15.23915, 0.0], [1610612744, 201575, 8.30951, 33.99888, 0.0], [1610612744, 201939, 20.8944, 47.75117, 0.0], [1610612744, 202691, 33.80137, 16.69854, 0.0], [1610612744, 203110, 19.86572, 25.06333, 0.0], [1610612739, 2544, 12.57698, 34.39618, 0.0], [1610612739, 2747, 26.21033, 5.0454, 0.0], [1610612739, 201567, 4.62168, 34.161, 0.0], [1610612739, 202681, 26.03946, 10.86859, 0.0], [1610612739, 202389, 6.31059, 16.44416, 0.0]]",233.0
7315,1,1451082383781,465.58,2.6,"[[-1, -1, 83.94107, 21.78931, 14.03086], [1610612744, 101106, 88.91455, 27.54643, 0.0], [1610612744, 201575, 78.43502, 15.2127, 0.0], [1610612744, 201939, 78.52488, 34.54065, 0.0], [1610612744, 202691, 81.75245, 14.12565, 0.0], [1610612744, 203110, 85.56292, 26.03187, 0.0], [1610612739, 2544, 69.86014, 5.68195, 0.0], [1610612739, 2747, 71.73576, 44.38003, 0.0], [1610612739, 201567, 83.59629, 25.70604, 0.0], [1610612739, 202681, 80.28258, 16.08944, 0.0], [1610612739, 202389, 88.83967, 29.49512, 0.0]]",254.42000000000002
7316,1,1451082402940,465.0,24.0,"[[-1, -1, 75.59726, 24.59627, 3.79294], [1610612744, 101106, 89.49848, 35.01812, 0.0], [1610612744, 201575, 82.0937, 33.93513, 0.0], [1610612744, 201939, 53.22323, -2.15775, 0.0], [1610612744, 202691, 65.95546, 37.6137, 0.0], [1610612744, 203110, 88.69975, 16.03588, 0.0], [1610612739, 2544, 39.37679, 16.85843, 0.0], [1610612739, 2747, 59.92398, 35.19747, 0.0], [1610612739, 201567, 83.90416, 9.44306, 0.0], [1610612739, 202681, 74.30238, 24.89747, 0.0], [1610612739, 202389, 84.79412, 34.93704, 0.0]]",255.0
8004,1,1451082437580,449.96,8.1,"[[-1, -1, 2.23996, 26.85834, 4.7938], [1610612744, 101106, 18.11426, 10.76018, 0.0], [1610612744, 201575, 12.75048, 30.91246, 0.0], [1610612744, 201939, 28.1123, 37.75298, 0.0], [1610612744, 202691, 20.43906, 38.28473, 0.0], [1610612744, 203110, 44.64799, 24.92191, 0.0], [1610612739, 2544, 3.19211, 28.536, 0.0], [1610612739, 2747, 14.33486, 25.58888, 0.0], [1610612739, 201567, 48.00165, 19.25005, 0.0], [1610612739, 202681, 13.24058, 38.90926, 0.0], [1610612739, 202389, 13.93473, 13.85389, 0.0]]",270.04
8005,1,1451082437620,449.93,24.0,"[[-1, -1, 2.06479, 26.87725, 4.78651], [1610612744, 101106, 18.51524, 10.70998, 0.0], [1610612744, 201575, 13.08309, 30.82944, 0.0], [1610612744, 201939, 28.5134, 37.54595, 0.0], [1610612744, 202691, 20.80003, 38.16192, 0.0], [1610612744, 203110, 45.14758, 24.82988, 0.0], [1610612739, 2544, 2.90666, 28.5551, 0.0], [1610612739, 2747, 14.56724, 25.46457, 0.0], [1610612739, 201567, 48.34346, 19.34849, 0.0], [1610612739, 202681, 13.28774, 38.9449, 0.0], [1610612739, 202389, 14.1809, 13.82299, 0.0]]",270.07
8343,1,1451082451140,436.75,11.57,"[[-1, -1, 85.77479, 22.87232, 5.64378], [1610612744, 101106, 89.89147, 25.78106, 0.0], [1610612744, 201575, 83.48544, 27.9061, 0.0], [1610612744, 201939, 86.58856, 15.27625, 0.0], [1610612744, 202691, 84.81618, 22.61377, 0.0], [1610612744, 203110, 51.18337, 6.99426, 0.0], [1610612739, 2544, 54.83458, 30.47219, 0.0], [1610612739, 2747, 58.96912, 5.6876, 0.0], [1610612739, 201567, 87.39123, 23.54147, 0.0], [1610612739, 202681, 78.33887, 19.12966, 0.0], [1610612739, 202389, 84.43013, 29.24991, 0.0]]",283.25
8344,1,1451082451180,436.71,24.0,"[[-1, -1, 85.79807, 22.42327, 5.47274], [1610612744, 101106, 90.05174, 25.70724, 0.0], [1610612744, 201575, 83.58489, 28.0313, 0.0], [1610612744, 201939, 86.456, 15.26275, 0.0], [1610612744, 202691, 84.83833, 22.72138, 0.0], [1610612744, 203110, 50.64621, 7.08054, 0.0], [1610612739, 2544, 54.54445, 30.49441, 0.0], [1610612739, 2747, 58.45573, 5.82709, 0.0], [1610612739, 201567, 87.31093, 23.67032, 0.0], [1610612739, 202681, 78.04476, 19.35494, 0.0], [1610612739, 202389, 84.07299, 29.31369, 0.0]]",283.29
8591,1,1451082461060,427.08,16.64,"[[-1, -1, 5.9462, 25.66062, 11.14419], [1610612744, 101106, 41.02525, 36.46466, 0.0], [1610612744, 201575, 11.83698, 39.98729, 0.0], [1610612744, 201939, 35.58072, 24.28789, 0.0], [1610612744, 202691, 21.72596, 6.70944, 0.0], [1610612744, 203110, 19.75128, 10.32902, 0.0], [1610612739, 2544, 6.64772, 29.13292, 0.0], [1610612739, 2747, 11.07854, 14.62403, 0.0], [1610612739, 201567, 26.51229, 7.67851, 0.0], [1610612739, 202681, 21.19361, 24.14726, 0.0], [1610612739, 202389, 10.4141, 25.73254, 0.0]]",292.92
