,quarter,universe_time,quarter_time,shot_clock,positions,game_time
22127,2,1451083893042,683.0,24.0,"[[-1, -1, 86.09094, 31.35946, 4.10617], [1610612744, 2738, 48.19313, 20.83085, 0.0], [1610612744, 2571, 30.98945, 41.34057, 0.0], [1610612744, 2733, 86.08399, 30.52877, 0.0], [1610612744, 201578, 93.27938, 29.2852, 0.0], [1610612744, 203105, 69.7971, 24.07633, 0.0], [1610612739, 2590, 39.53333, 32.07719, 0.0], [1610612739, 201567, 57.95665, 29.35988, 0.0], [1610612739, 202697, 34.15161, 24.0018, 0.0], [1610612739, 203521, 49.61484, 24.87419, 0.0], [1610612739, 202684, 53.46226, 20.92308, 0.0]]",757.0
23300,2,1451083939961,636.04,7.64,"[[-1, -1, 6.07962, 24.20653, 5.00374], [1610612744, 2738, 39.40484, 34.49726, 0.0], [1610612744, 2571, 32.73149, 38.22259, 0.0], [1610612744, 2733, 30.1365, 18.81713, 0.0], [1610612744, 201578, 16.67555, 29.37328, 0.0], [1610612744, 203105, 10.32615, 27.66588, 0.0], [1610612739, 2590, 14.1251, 20.95675, 0.0], [1610612739, 201567, 10.82482, 24.44818, 0.0], [1610612739, 202697, 34.73782, 34.09138, 0.0], [1610612739, 203521, 16.67555, 29.37328, 0.0], [1610612739, 202684, 6.37978, 25.56656, 0.0]]",803.96
23301,2,1451083940002,636.0,24.0,"[[-1, -1, 6.00182, 24.11869, 4.74326], [1610612744, 2738, 39.94139, 34.58063, 0.0], [1610612744, 2571, 33.04143, 38.03164, 0.0], [1610612744, 2733, 30.53653, 18.94525, 0.0], [1610612744, 201578, 16.72447, 29.3609, 0.0], [1610612744, 203105, 10.51271, 27.62725, 0.0], [1610612739, 2590, 14.15583, 20.79193, 0.0], [1610612739, 201567, 10.84055, 24.24581, 0.0], [1610612739, 202697, 34.81799, 34.17281, 0.0], [1610612739, 203521, 16.72447, 29.3609, 0.0], [1610612739, 202684, 6.27635, 25.42614, 0.0]]",804.0
23728,2,1451083957082,618.87,9.52,"[[-1, -1, 88.3161, 24.16908, 5.13677], [1610612744, 2738, 73.84531, 33.74401, 0.0], [1610612744, 2571, 95.11381, 17.48277, 0.0], [1610612744, 2733, 89.30176, 31.54749, 0.0], [1610612744, 201578, 83.02706, 21.2005, 0.0], [1610612744, 203105, 88.60634, 17.29143, 0.0], [1610612739, 2590, 77.16301, 43.83744, 0.0], [1610612739, 201567, 59.40835, 8.46786, 0.0], [1610612739, 202697, 59.41013, 32.79396, 0.0], [1610612739, 203521, 85.76232, 36.63559, 0.0], [1610612739, 202684, 86.4283, 23.383, 0.0]]",821.13
23729,2,1451083957121,618.83,24.0,"[[-1, -1, 88.36475, 24.16259, 4.94082], [1610612744, 2738, 73.78834, 33.92057, 0.0], [1610612744, 2571, 95.03472, 17.18257, 0.0], [1610612744, 2733, 89.31485, 31.50424, 0.0], [1610612744, 201578, 83.18205, 21.19074, 0.0], [1610612744, 203105, 88.57514, 17.32408, 0.0], [1610612739, 2590, 76.79168, 43.66015, 0.0], [1610612739, 201567, 59.07594, 8.57945, 0.0], [1610612739, 202697, 59.15613, 32.78936, 0.0], [1610612739, 203521, 85.34825, 36.68846, 0.0], [1610612739, 202684, 86.21319, 23.3027, 0.0]]",821.17
24495,2,1451083987762,588.1,14.83,"[[-1, -1, 90.21193, 24.19537, 3.6512], [1610612744, 2738, 95.03516, 18.15739, 0.0], [1610612744, 2571, 64.79993, 13.98029, 0.0], [1610612744, 2733, 74.92256, 35.65488, 0.0], [1610612744, 201578, 84.74434, 26.34333, 0.0], [1610612744, 203105, 88.12648, 26.97489, 0.0], [1610612739, 2590, 61.81131, 10.21078, 0.0], [1610612739, 201567, 71.67714, 33.55544, 0.0], [1610612739, 202697, 87.76429, 23.2218, 0.0], [1610612739, 203521, 66.74724, 39.24343, 0.0], [1610612739, 202684, 85.63997, 25.94242, 0.0]]",851.9
24496,2,1451083987801,588.06,24.0,"[[-1, -1, 90.33951, 24.12152, 3.65311], [1610612744, 2738, 95.32711, 18.013, 0.0], [1610612744, 2571, 64.51349, 13.93533, 0.0], [1610612744, 2733, 74.94733, 35.72016, 0.0], [1610612744, 201578, 84.71571, 26.46734, 0.0], [1610612744, 203105, 88.08655, 26.83301, 0.0], [1610612739, 2590, 61.56695, 10.26031, 0.0], [1610612739, 201567, 71.21769, 33.55638, 0.0], [1610612739, 202697, 87.72528, 23.08841, 0.0], [1610612739, 203521, 66.47653, 39.11288, 0.0], [1610612739, 202684, 85.41127, 25.93223, 0.0]]",851.94
25647,2,1451084222838,551.17,14.74,"[[-1, -1, 85.31417, 20.70105, 11.30094], [1610612744, 2738, 83.12925, 22.97202, 0.0], [1610612744, 2571, 88.37433, 24.07607, 0.0], [1610612744, 201578, 86.30112, 9.23637, 0.0], [1610612744, 203105, 87.36005, 24.84645, 0.0], [1610612744, 202691, 87.37015, 28.60612, 0.0], [1610612739, 2544, 84.41668, 18.56473, 0.0], [1610612739, 201567, 86.09274, 1.35382, 0.0], [1610612739, 202697, 57.79925, 27.77271, 0.0], [1610612739, 202681, 83.8766, 47.43371, 0.0], [1610612739, 202684, 86.64732, 28.4669, 0.0]]",888.83
25792,2,1451084249438,552.08,24.0,"[[-1, -1, 85.46515, 21.34377, 3.11519], [1610612744, 2738, 85.5622, 20.23845, 0.0], [1610612744, 2571, 54.54142, 39.80249, 0.0], [1610612744, 201578, 59.58448, 19.63242, 0.0], [1610612744, 203105, 92.86621, 27.40992, 0.0], [1610612744, 202691, 44.1468, 6.19111, 0.0], [1610612739, 2544, 48.59763, 23.38039, 0.0], [1610612739, 201567, 52.9184, 15.41074, 0.0], [1610612739, 202697, 38.68972, 11.27548, 0.0], [1610612739, 202681, 42.54059, 36.36665, 0.0], [1610612739, 202684, 55.88613, 29.304, 0.0]]",887.92
26146,2,1451084263597,539.04,9.56,"[[-1, -1, 6.1522, 12.38687, 2.89014], [1610612744, 2738, 40.24098, 9.63401, 0.0], [1610612744, 2571, 10.98731, 32.94621, 0.0], [1610612744, 201578, 30.45054, 15.41867, 0.0], [1610612744, 203105, 7.527, 18.95721, 0.0], [1610612744, 202691, 37.06508, 37.8142, 0.0], [1610612739, 2544, 47.88327, 8.03324, 0.0], [1610612739, 201567, 5.34689, 12.35032, 0.0], [1610612739, 202697, 25.09777, 33.10002, 0.0], [1610612739, 202681, 5.31295, 33.10698, 0.0], [1610612739, 202684, 7.30896, 25.56424, 0.0]]",900.96
26147,2,1451084263636,539.0,24.0,"[[-1, -1, 6.13731, 12.19438, 2.67463], [1610612744, 2738, 40.73701, 9.77964, 0.0], [1610612744, 2571, 11.10339, 32.95212, 0.0], [1610612744, 201578, 30.80582, 15.51433, 0.0], [1610612744, 203105, 7.97497, 18.81926, 0.0], [1610612744, 202691, 37.37764, 37.69374, 0.0], [1610612739, 2544, 48.29278, 8.10672, 0.0], [1610612739, 201567, 5.40586, 12.09317, 0.0], [1610612739, 202697, 25.21088, 33.09592, 0.0], [1610612739, 202681, 5.25735, 32.98396, 0.0], [1610612739, 202684, 7.55979, 25.4472, 0.0]]",901.0
27141,2,1451084320438,508.01,20.87,"[[-1, -1, 87.01703, 26.81011, 4.86311], [1610612744, 2738, 88.54747, 26.96987, 0.0], [1610612744, 2571, 94.60327, 22.37763, 0.0], [1610612744, 201578, 86.78903, 25.85654, 0.0], [1610612744, 203105, 86.85339, 22.37566, 0.0], [1610612744, 202691, 72.13636, 19.01496, 0.0], [1610612739, 2544, 89.40434, 26.41448, 0.0], [1610612739, 201567, 31.47144, 27.98846, 0.0], [1610612739, 202697, 90.82502, 15.07775, 0.0], [1610612739, 202681, 98.80875, 12.33115, 0.0], [1610612739, 202684, 89.73806, 17.97663, 0.0]]",931.99
27142,2,1451084344597,508.0,24.0,"[[-1, -1, 75.09659, 24.78666, 3.16631], [1610612744, 2738, 81.4108, 33.78981, 0.0], [1610612744, 2571, 39.85221, 28.86136, 0.0], [1610612744, 201578, 88.97517, 16.46024, 0.0], [1610612744, 203105, 87.85881, 33.69879, 0.0], [1610612744, 202691, 65.63777, 34.48529, 0.0], [1610612739, 2544, 41.85832, 16.70186, 0.0], [1610612739, 201567, 84.39854, 35.02347, 0.0], [1610612739, 202697, 60.57809, 31.89727, 0.0], [1610612739, 202681, 74.2303, 24.7974, 0.0], [1610612739, 202684, 84.12571, 15.92031, 0.0]]",932.0
27927,2,1451084388915,488.52,4.24,"[[-1, -1, 3.55278, 24.88636, 4.82454], [1610612744, 2571, 37.63055, 37.54528, 0.0], [1610612744, 201575, 9.82329, 20.71185, 0.0], [1610612744, 201578, 9.69583, 25.07609, 0.0], [1610612744, 203105, 15.04408, 29.95502, 0.0], [1610612744, 202691, 15.46638, 8.43149, 0.0], [1610612739, 2544, 5.91097, 22.58618, 0.0], [1610612739, 201567, 9.11423, 29.38832, 0.0], [1610612739, 202697, 11.28219, 11.00732, 0.0], [1610612739, 202681, 24.05737, 39.65756, 0.0], [1610612739, 202684, 4.28419, 25.89406, 0.0]]",951.48
27928,2,1451084388955,488.48,24.0,"[[-1, -1, 3.29044, 25.08523, 4.76324], [1610612744, 2571, 37.90225, 37.52013, 0.0], [1610612744, 201575, 10.19891, 20.87115, 0.0], [1610612744, 201578, 9.85987, 25.13442, 0.0], [1610612744, 203105, 15.44102, 29.87691, 0.0], [1610612744, 202691, 15.87172, 8.4992, 0.0], [1610612739, 2544, 5.96971, 22.64015, 0.0], [1610612739, 201567, 9.18367, 29.44086, 0.0], [1610612739, 202697, 11.51245, 11.01998, 0.0], [1610612739, 202681, 24.09293, 39.80935, 0.0], [1610612739, 202684, 4.01337, 25.99495, 0.0]]",951.52
29621,2,1451084472834,426.08,6.92,"[[-1, -1, 87.98776, 24.80328, 7.72228], [1610612744, 2571, 79.40042, 6.02036, 0.0], [1610612744, 201575, 83.03596, 29.77808, 0.0], [1610612744, 203105, 87.47983, 22.30733, 0.0], [1610612744, 202691, 68.27756, 31.24777, 0.0], [1610612744, 203110, 87.12866, 26.0582, 0.0], [1610612739, 2544, 81.23308, 9.00329, 0.0], [1610612739, 201567, 64.94974, 8.96413, 0.0], [1610612739, 202697, 56.19054, 29.33817, 0.0], [1610612739, 202681, 73.81712, 4.72612, 0.0], [1610612739, 202684, 87.28729, 24.22286, 0.0]]",1013.9200000000001
29622,2,1451084472874,426.04,24.0,"[[-1, -1, 88.10527, 24.93021, 7.95608], [1610612744, 2571, 78.99813, 5.83755, 0.0], [1610612744, 201575, 82.63656, 29.88591, 0.0], [1610612744, 203105, 87.55901, 22.40409, 0.0], [1610612744, 202691, 68.04424, 31.49494, 0.0], [1610612744, 203110, 87.1017, 26.22171, 0.0], [1610612739, 2544, 80.7929, 8.8933, 0.0], [1610612739, 201567, 64.70469, 9.01363, 0.0], [1610612739, 202697, 55.97264, 29.37414, 0.0], [1610612739, 202681, 73.37753, 4.81988, 0.0], [1610612739, 202684, 87.20706, 24.20633, 0.0]]",1013.96
30114,2,1451084492553,407.0,9.0,"[[-1, -1, 5.88515, 21.71639, 8.366], [1610612744, 2571, 34.40481, 40.52963, 0.0], [1610612744, 201575, 10.05117, 4.03464, 0.0], [1610612744, 203105, 7.71703, 27.31759, 0.0], [1610612744, 202691, 21.55691, 6.80841, 0.0], [1610612744, 203110, 3.98981, 11.12907, 0.0], [1610612739, 2544, 13.33504, 17.48797, 0.0], [1610612739, 201567, 7.6274, 27.55722, 0.0], [1610612739, 202697, 11.92461, 9.60376, 0.0], [1610612739, 202681, 23.63856, 38.06493, 0.0], [1610612739, 202684, 10.0591, 20.41623, 0.0]]",1033.0
30115,2,1451084517954,407.0,24.0,"[[-1, -1, 18.53534, 25.29742, 1.69793], [1610612744, 2571, 27.13317, 9.44578, 0.0], [1610612744, 201575, 10.30258, 33.89855, 0.0], [1610612744, 203105, 9.60043, 15.56547, 0.0], [1610612744, 202691, 29.95731, 28.09948, 0.0], [1610612744, 203110, 19.82894, 25.02564, 0.0], [1610612739, 2544, 24.43395, 6.20515, 0.0], [1610612739, 201567, 5.34764, 33.66626, 0.0], [1610612739, 202697, 39.76448, 12.61825, 0.0], [1610612739, 202681, 12.70363, 16.17334, 0.0], [1610612739, 202684, 5.9462, 16.21154, 0.0]]",1033.0
31061,2,1451084571153,379.57,12.74,"[[-1, -1, 5.21611, 24.92507, 8.47199], [1610612744, 101106, 7.16682, 28.53926, 0.0], [1610612744, 2733, 3.32408, 36.98334, 0.0], [1610612744, 201575, 25.75216, 39.63904, 0.0], [1610612744, 202691, 6.48309, 25.99635, 0.0], [1610612744, 203110, 34.89053, 25.8819, 0.0], [1610612739, 2544, 15.64788, 32.98633, 0.0], [1610612739, 2747, 1.50164, 33.34208, 0.0], [1610612739, 201567, 7.5947, 26.65943, 0.0], [1610612739, 202681, 2.25398, 18.37561, 0.0], [1610612739, 202684, 6.03041, 22.85978, 0.0]]",1060.43
31062,2,1451084571193,379.53,24.0,"[[-1, -1, 5.17577, 24.80744, 7.25244], [1610612744, 101106, 7.46335, 28.30591, 0.0], [1610612744, 2733, 3.48132, 36.99992, 0.0], [1610612744, 201575, 25.97313, 39.5395, 0.0], [1610612744, 202691, 6.67664, 26.25681, 0.0], [1610612744, 203110, 35.09623, 25.85108, 0.0], [1610612739, 2544, 15.73561, 33.08871, 0.0], [1610612739, 2747, 1.5098, 33.46707, 0.0], [1610612739, 201567, 7.72064, 26.35553, 0.0], [1610612739, 202681, 2.08046, 18.39902, 0.0], [1610612739, 202684, 5.87654, 22.8534, 0.0]]",1060.47
32867,2,1451084832470,318.13,3.12,"[[-1, -1, 88.7113, 23.45769, 10.04944], [1610612744, 2738, 88.42031, 22.97656, 0.0], [1610612744, 101106, 88.04474, 25.62309, 0.0], [1610612744, 201939, 91.07747, 32.31647, 0.0], [1610612744, 202691, 70.12158, 20.05691, 0.0], [1610612744, 203110, 82.97625, 26.95979, 0.0], [1610612739, 2544, 88.12065, 20.12058, 0.0], [1610612739, 2747, 88.95846, 47.84103, 0.0], [1610612739, 201567, 69.28394, 42.45063, 0.0], [1610612739, 202681, 61.07776, 19.49544, 0.0], [1610612739, 202684, 88.27333, 30.13998, 0.0]]",1121.87
32868,2,1451084850470,318.0,24.0,"[[-1, -1, 73.95823, 24.46922, 2.17107], [1610612744, 2738, 88.15478, 16.54109, 0.0], [1610612744, 101106, 89.159, 34.97357, 0.0], [1610612744, 201939, 65.36941, 35.22327, 0.0], [1610612744, 202691, 58.58143, 27.11805, 0.0], [1610612744, 203110, 82.14061, 16.11133, 0.0], [1610612739, 2544, 73.89617, 24.72204, 0.0], [1610612739, 2747, 57.44015, 30.71098, 0.0], [1610612739, 201567, 83.93258, 34.68581, 0.0], [1610612739, 202681, 36.10162, 8.2271, 0.0], [1610612739, 202684, 84.43848, 16.52197, 0.0]]",1122.0
34657,2,1451084953508,260.98,13.92,"[[-1, -1, 4.8807, 26.00043, 10.66853], [1610612744, 2738, 7.33471, 46.3747, 0.0], [1610612744, 101106, 6.125, 23.10224, 0.0], [1610612744, 201939, 39.51966, 32.70517, 0.0], [1610612744, 202691, 27.76882, 42.44665, 0.0], [1610612744, 203110, 15.03997, 21.95665, 0.0], [1610612739, 2544, 5.29604, 28.74662, 0.0], [1610612739, 201567, 7.09508, 26.18004, 0.0], [1610612739, 203521, 21.48426, 38.60837, 0.0], [1610612739, 202681, 31.46969, 29.30543, 0.0], [1610612739, 202684, 10.47553, 23.3226, 0.0]]",1179.02
34658,2,1451084953549,260.94,24.0,"[[-1, -1, 5.09862, 27.73683, 11.3636], [1610612744, 2738, 7.5238, 46.22925, 0.0], [1610612744, 101106, 6.13633, 23.21189, 0.0], [1610612744, 201939, 39.57998, 32.56938, 0.0], [1610612744, 202691, 27.84232, 42.32147, 0.0], [1610612744, 203110, 15.38048, 21.95577, 0.0], [1610612739, 2544, 5.31199, 28.58229, 0.0], [1610612739, 201567, 6.93437, 26.22241, 0.0], [1610612739, 203521, 21.49467, 38.44184, 0.0], [1610612739, 202681, 31.44986, 29.07123, 0.0], [1610612739, 202684, 10.5044, 23.5484, 0.0]]",1179.06
35117,2,1451084971908,242.55,5.52,"[[-1, -1, 88.80477, 23.09174, 12.90938], [1610612744, 2738, 83.29924, 15.55708, 0.0], [1610612744, 101106, 88.12138, 19.36963, 0.0], [1610612744, 201939, 88.87985, 21.42561, 0.0], [1610612744, 202691, 81.69565, 48.54249, 0.0], [1610612744, 203110, 84.98545, 30.39429, 0.0], [1610612739, 2544, 75.63353, 10.98764, 0.0], [1610612739, 201567, 78.42524, 28.52711, 0.0], [1610612739, 203521, 88.33538, 47.38207, 0.0], [1610612739, 202681, 90.45441, 31.55995, 0.0], [1610612739, 202684, 87.64586, 20.34766, 0.0]]",1197.45
35118,2,1451084971948,242.51,24.0,"[[-1, -1, 88.81564, 22.82928, 13.16048], [1610612744, 2738, 83.25717, 15.47938, 0.0], [1610612744, 101106, 87.88907, 19.37515, 0.0], [1610612744, 201939, 88.85151, 21.18274, 0.0], [1610612744, 202691, 81.34895, 48.49878, 0.0], [1610612744, 203110, 85.16772, 30.28614, 0.0], [1610612739, 2544, 75.43484, 10.88465, 0.0], [1610612739, 201567, 78.83328, 28.28761, 0.0], [1610612739, 203521, 88.11687, 47.3503, 0.0], [1610612739, 202681, 90.24706, 31.57499, 0.0], [1610612739, 202684, 87.7623, 20.16191, 0.0]]",1197.49
35304,2,1451084979387,235.06,18.04,"[[-1, -1, 88.26282, 30.0584, 11.77448], [1610612744, 2738, 82.2067, 22.72282, 0.0], [1610612744, 101106, 87.4019, 23.59247, 0.0], [1610612744, 201939, 88.93658, 52.19166, 0.0], [1610612744, 202691, 84.55908, 31.14535, 0.0], [1610612744, 203110, 87.2289, 19.96941, 0.0], [1610612739, 2544, 67.23559, 10.14743, 0.0], [1610612739, 201567, 84.87888, 24.66978, 0.0], [1610612739, 203521, 59.10834, 30.41739, 0.0], [1610612739, 202681, 87.07935, 46.48113, 0.0], [1610612739, 202684, 88.19647, 21.13511, 0.0]]",1204.94
35305,2,1451084979427,235.02,24.0,"[[-1, -1, 88.3215, 30.54829, 11.72969], [1610612744, 2738, 82.28732, 22.83903, 0.0], [1610612744, 101106, 87.36946, 23.54772, 0.0], [1610612744, 201939, 88.70621, 52.20371, 0.0], [1610612744, 202691, 84.80144, 30.96594, 0.0], [1610612744, 203110, 87.35078, 20.19534, 0.0], [1610612739, 2544, 67.18045, 10.2314, 0.0], [1610612739, 201567, 84.869, 24.96679, 0.0], [1610612739, 203521, 59.0056, 30.42784, 0.0], [1610612739, 202681, 87.08916, 46.37397, 0.0], [1610612739, 202684, 88.30852, 21.05734, 0.0]]",1204.98
36319,2,1451085227545,199.59,8.42,"[[1610612744, 2738, 14.68747, 3.48337, 0.0], [1610612744, 101106, 5.13424, 17.623, 0.0], [1610612744, 201939, 46.97594, 25.77978, 0.0], [1610612744, 202691, 5.34652, 45.67858, 0.0], [1610612744, 203110, 15.48903, 39.39534, 0.0], [1610612739, 2544, 16.6172, 12.35111, 0.0], [1610612739, 201567, 7.90216, 33.55521, 0.0], [1610612739, 202697, 13.36727, 42.24556, 0.0], [1610612739, 203521, 31.86429, 26.20916, 0.0], [1610612739, 202684, 9.84078, 23.25674, 0.0]]",1240.4099999999999
36320,2,1451085230865,200.0,24.0,"[[-1, -1, -0.27376, 39.15353, 3.92927], [1610612744, 2738, 43.23226, 5.85403, 0.0], [1610612744, 101106, 34.60714, 21.33418, 0.0], [1610612744, 201939, 57.78196, 26.93217, 0.0], [1610612744, 202691, 31.67337, 44.0876, 0.0], [1610612744, 203110, 29.26854, 33.47241, 0.0], [1610612739, 2544, 37.94411, 8.71389, 0.0], [1610612739, 201567, 22.06238, 37.94671, 0.0], [1610612739, 202697, 46.42447, 46.06034, 0.0], [1610612739, 203521, 17.75882, 27.50706, 0.0], [1610612739, 202684, 13.10277, 31.83237, 0.0]]",1240.0
37491,2,1451085277704,157.91,6.54,"[[-1, -1, 95.57486, 29.00545, 2.86163], [1610612744, 2738, 78.09189, 26.27204, 0.0], [1610612744, 101106, 89.15985, 24.34989, 0.0], [1610612744, 201939, 80.17546, 11.95273, 0.0], [1610612744, 202691, 89.54527, 29.81935, 0.0], [1610612744, 203110, 87.25039, 21.72561, 0.0], [1610612739, 2544, 94.51293, 22.89057, 0.0], [1610612739, 201567, 69.83601, 7.41181, 0.0], [1610612739, 202697, 90.80659, 3.70967, 0.0], [1610612739, 203521, 61.08206, 21.09499, 0.0], [1610612739, 202684, 85.84742, 21.70068, 0.0]]",1282.0900000000001
39277,2,1451085416462,110.0,24.0,"[[-1, -1, 84.09592, 19.65417, 5.60644], [1610612744, 2738, 77.74997, 27.07345, 0.0], [1610612744, 101106, 51.40973, 31.32548, 0.0], [1610612744, 201939, 28.72677, 16.80131, 0.0], [1610612744, 202691, 55.46795, 10.98455, 0.0], [1610612744, 203110, 93.99804, 12.79825, 0.0], [1610612739, 2544, 39.82284, 12.88697, 0.0], [1610612739, 201567, 58.093, 22.72182, 0.0], [1610612739, 202697, 24.72087, 20.2229, 0.0], [1610612739, 203521, 35.26183, 17.64129, 0.0], [1610612739, 202389, 41.83072, 20.6416, 0.0]]",1330.0
39487,2,1451085424862,102.0,15.38,"[[-1, -1, 19.87684, 32.59477, 3.58452], [1610612744, 2738, 33.18552, 27.92368, 0.0], [1610612744, 101106, 8.36973, 31.00932, 0.0], [1610612744, 201939, 10.48499, 8.03869, 0.0], [1610612744, 202691, 19.94418, 34.1967, 0.0], [1610612744, 203110, 13.14656, 11.33865, 0.0], [1610612739, 2544, 22.7003, 25.13186, 0.0], [1610612739, 201567, 9.42055, 16.89839, 0.0], [1610612739, 202697, 19.89067, 36.47156, 0.0], [1610612739, 203521, 10.64129, 10.98118, 0.0], [1610612739, 202389, 10.45015, 28.98656, 0.0]]",1338.0
39488,2,1451085444862,102.0,24.0,"[[-1, -1, 18.33771, 25.24924, 2.22981], [1610612744, 2738, 34.3401, 26.73523, 0.0], [1610612744, 101106, 9.66381, 13.33568, 0.0], [1610612744, 201939, 38.38017, 19.64262, 0.0], [1610612744, 202691, 19.68057, 25.79844, 0.0], [1610612744, 203110, 9.54745, 33.72838, 0.0], [1610612739, 2544, 33.60024, 14.33472, 0.0], [1610612739, 201567, 6.2324, 16.18809, 0.0], [1610612739, 202697, 12.34493, 33.08768, 0.0], [1610612739, 203521, 32.99611, 21.27802, 0.0], [1610612739, 202389, 5.21118, 33.89493, 0.0]]",1338.0
40059,2,1451085479221,89.85,12.24,"[[-1, -1, 88.55172, 23.76036, 10.10948], [1610612744, 2738, 84.11657, 28.42462, 0.0], [1610612744, 101106, 94.98465, 21.65364, 0.0], [1610612744, 201939, 72.07287, 13.72411, 0.0], [1610612744, 202691, 87.55867, 28.25185, 0.0], [1610612744, 203110, 85.23656, 23.86191, 0.0], [1610612739, 2544, 87.78246, 25.43537, 0.0], [1610612739, 201567, 85.53694, 1.88071, 0.0], [1610612739, 202697, 75.81271, 44.03464, 0.0], [1610612739, 203521, 63.99676, 15.81499, 0.0], [1610612739, 202389, 85.50392, 26.19748, 0.0]]",1350.15
40060,2,1451085479262,89.81,24.0,"[[-1, -1, 88.90715, 23.1371, 10.00215], [1610612744, 2738, 84.13484, 28.40478, 0.0], [1610612744, 101106, 95.01354, 21.62539, 0.0], [1610612744, 201939, 72.09324, 13.73939, 0.0], [1610612744, 202691, 87.75051, 28.20996, 0.0], [1610612744, 203110, 85.19071, 23.91758, 0.0], [1610612739, 2544, 87.91491, 25.50559, 0.0], [1610612739, 201567, 85.54086, 1.90468, 0.0], [1610612739, 202697, 75.3707, 43.86315, 0.0], [1610612739, 203521, 63.92169, 15.86012, 0.0], [1610612739, 202389, 85.52265, 26.16673, 0.0]]",1350.19
40468,2,1451085495581,72.97,8.9,"[[-1, -1, 29.26948, 27.17017, 5.52404], [1610612744, 2738, 32.0377, 37.80034, 0.0], [1610612744, 101106, 12.77511, 38.66046, 0.0], [1610612744, 201939, 21.81982, 8.32007, 0.0], [1610612744, 202691, 21.22177, 8.81867, 0.0], [1610612744, 203110, 26.70621, 14.91325, 0.0], [1610612739, 2544, 25.50306, 33.58367, 0.0], [1610612739, 201567, 18.4491, 20.4453, 0.0], [1610612739, 202697, 21.99012, 7.42598, 0.0], [1610612739, 203521, 15.69286, 11.13358, 0.0], [1610612739, 202389, 13.21883, 34.59961, 0.0]]",1367.03
40469,2,1451085518341,73.0,24.0,"[[-1, -1, 19.29548, 25.29348, 3.18116], [1610612744, 2738, 30.347, 14.48786, 0.0], [1610612744, 101106, 10.2511, 14.57591, 0.0], [1610612744, 201939, 19.82393, 25.1821, 0.0], [1610612744, 202691, 8.97307, 33.64494, 0.0], [1610612744, 203110, 36.24924, 33.63891, 0.0], [1610612739, 2544, 26.61581, 4.67941, 0.0], [1610612739, 201567, 4.78541, 34.1187, 0.0], [1610612739, 202697, 27.78545, 40.74218, 0.0], [1610612739, 203521, 30.13173, 22.34284, 0.0], [1610612739, 202389, 6.93588, 16.41827, 0.0]]",1367.0
41402,2,1451085645739,54.0,4.1,"[[-1, -1, 88.87662, 25.60606, 6.50598], [1610612744, 2738, 91.05036, 42.72787, 0.0], [1610612744, 201939, 85.92315, 21.58452, 0.0], [1610612744, 203105, 89.49095, 26.90349, 0.0], [1610612744, 202691, 72.7388, 41.4982, 0.0], [1610612744, 203110, 89.61869, 23.23561, 0.0], [1610612739, 2590, 62.86145, 40.58123, 0.0], [1610612739, 2544, 86.56053, 47.31939, 0.0], [1610612739, 201567, 66.92283, 13.51205, 0.0], [1610612739, 203521, 86.57624, 21.71813, 0.0], [1610612739, 202389, 85.04787, 25.9, 0.0]]",1386.0
41403,2,1451085645780,54.0,24.0,"[[-1, -1, 89.21133, 25.62639, 6.41744], [1610612744, 2738, 90.98058, 42.70526, 0.0], [1610612744, 201939, 85.94223, 21.55241, 0.0], [1610612744, 203105, 89.62386, 26.86145, 0.0], [1610612744, 202691, 72.53893, 41.54615, 0.0], [1610612744, 203110, 89.82561, 23.44089, 0.0], [1610612739, 2590, 62.64278, 40.5747, 0.0], [1610612739, 2544, 86.10526, 47.26754, 0.0], [1610612739, 201567, 66.68882, 13.50311, 0.0], [1610612739, 203521, 86.45879, 21.72428, 0.0], [1610612739, 202389, 84.72929, 25.81467, 0.0]]",1386.0
41744,2,1451085659420,42.46,12.55,"[[-1, -1, 7.15165, 26.07253, 11.40641], [1610612744, 2738, 14.15725, 3.78119, 0.0], [1610612744, 201939, 37.5982, 15.17933, 0.0], [1610612744, 203105, 2.55752, 26.52829, 0.0], [1610612744, 202691, 9.00841, 25.13956, 0.0], [1610612744, 203110, 14.1066, 24.75311, 0.0], [1610612739, 2590, 9.03058, 16.54785, 0.0], [1610612739, 2544, 19.82331, 32.07332, 0.0], [1610612739, 201567, 14.19386, 26.52293, 0.0], [1610612739, 203521, 28.07494, 16.63967, 0.0], [1610612739, 202389, 4.44827, 27.94998, 0.0]]",1397.54
41745,2,1451085659459,42.42,24.0,"[[-1, -1, 7.36508, 26.05928, 11.2454], [1610612744, 2738, 14.37435, 3.84679, 0.0], [1610612744, 201939, 37.76883, 15.28548, 0.0], [1610612744, 203105, 2.58845, 26.11137, 0.0], [1610612744, 202691, 8.78863, 25.089, 0.0], [1610612744, 203110, 13.94518, 24.95163, 0.0], [1610612739, 2590, 9.04153, 16.72678, 0.0], [1610612739, 2544, 19.72444, 32.17732, 0.0], [1610612739, 201567, 14.11752, 26.53158, 0.0], [1610612739, 203521, 27.99267, 16.75895, 0.0], [1610612739, 202389, 4.3573, 27.82202, 0.0]]",1397.58
