,shot_clock,pass_successful,backcourt,dist,passer_basket_dist,ball_end_basket_dist,basket_angle,closest_def_dist_passer,closest_def_dist_ball_end,closest_def_trajectory,closest_def_angle_passer,closest_def_angle_ball_end,closest_def_trajectory_angle
0,23.31,1,0,7.695607672854687,6.305958620424015,1.402065672142358,0.14721286077449508,4.367718892110615,3.6794257450042367,1.1715256112004648,2.8700439883930966,2.8175525036902047,2.8175525036902047
1,20.23,1,0,12.304162510402728,25.393425771291678,22.590962207132755,2.6360105052497755,7.169871981904558,5.996277571335397,2.332130897876174,2.81029738367207,2.7421230318077625,2.7421230318077625
2,13.54,1,1,14.78264133766696,26.91068023338875,14.56414809669965,2.728010822188732,5.662852755537621,9.550784742208357,1.734502807686103,2.83029426244166,2.958970842429998,2.958970842429998
3,12.19,1,1,12.10129222688222,15.821083165602158,25.034741935640163,2.744788230893842,2.7753837496101337,13.647808498378048,1.3899590895123424,1.072238796524626,2.9620257948749997,2.8031450836245617
4,10.91,1,1,13.750779857873518,17.712186363498436,18.817913755382133,2.3719871765012823,1.8423859411100592,13.311157357529058,0.6052768698376301,1.877369687301735,3.009251094366655,3.0157287247079982
5,9.64,1,1,26.51308877775843,19.06361195347041,26.565862699276302,1.940741800145448,6.305620095922368,34.95438033103863,0.3892328405680542,2.881270383497844,2.6443945563626063,3.103439360444109
6,8.14,1,1,22.731655470981426,25.60602802756609,25.60704156033063,2.221779612873466,8.319089123996688,19.697434111447105,0.10654583563400864,2.121600446766518,2.773452507085146,3.130937723239937
7,5.51,1,1,34.41328681280677,31.346671963902324,25.31908308673519,1.851272055750782,8.327191177972319,8.31806238101759,7.436357716423196,1.3157272320015112,2.0353955842462756,2.0353955842462756
8,17.19,1,1,30.557867730286745,32.34605147119197,6.570685202724296,1.9457095513310578,13.796425318527263,5.9139334477993595,0.8368326310102844,2.7318561165757385,2.1220800967378706,3.0039518817040154
9,22.83,1,0,19.615886840344487,10.682108455637396,22.770178859236044,2.10528172043821,12.203113295913464,6.163865226503578,0.21557946708290143,2.4378469490031844,3.1066107982189983,3.1066107982189983
10,18.62,1,1,12.573542682673017,28.80316304369366,20.470596367771016,2.7513420683183796,6.172267455684339,4.851498532546413,1.7839046900607856,2.5634577649871226,2.765056188071674,2.765056188071674
11,14.56,1,1,11.941845564317104,12.06427568571773,17.511197758103243,2.393080128409117,2.7999783262196947,10.551084547879421,1.599889626130193,2.1956945591914545,2.924671527117576,2.8031323635817733
12,12.77,1,1,7.653327155590565,10.608436378854337,10.598498613393323,2.403153571238051,3.8664106910802905,2.0394766393611854,0.6635342120178849,1.549314743194876,2.81021574380974,2.81021574380974
13,12.34,1,1,16.00480048885646,10.745234774931628,23.62553648928422,2.5361372775921724,2.191856775658475,17.679452759429516,1.0101168736502715,0.7443466007772025,3.0574997988202686,2.7119883943913163
